Región,Proveedor,PA,Nombre,Provincia,Distrito,Corregimiento,Data (GB),Estado
1,C&W Panamá,1,Colegio Rogelio Josué Ibarra,Bocas del Toro,Bocas del Toro,Bocas del Toro,0,Normal
1,C&W Panamá,3,Esc. República de Nicaragua,Bocas del Toro,Bocas del Toro,Bocas del Toro,1,Normal
1,C&W Panamá,5,Parque Simón Bolívar,Bocas del Toro,Bocas del Toro,Bocas del Toro,1,Normal
1,C&W Panamá,6,Col. Sec. de Almirante,Bocas del Toro,Almirante,Puerto Almirante,13,Normal
1,C&W Panamá,7,Esc. Almirante,Bocas del Toro,Almirante,Puerto Almirante,16,Normal
1,C&W Panamá,8,Esc. Barriada Guaymi,Bocas del Toro,Almirante,Puerto Almirante,0,Fuerza Mayor
1,C&W Panamá,9,Esc. Berta López,Bocas del Toro,Almirante,Puerto Almirante,247,Normal
1,C&W Panamá,10,Esc. Miraflores,Bocas del Toro,Almirante,Puerto Almirante,379,Normal
1,C&W Panamá,11,Esc. Nuevo Paraíso,Bocas del Toro,Almirante,Puerto Almirante,311,Fuerza Mayor
1,C&W Panamá,13,BDA,Bocas del Toro,Changuinola,Changuinola,107,Normal
1,C&W Panamá,17,Esc. Finca 41,Bocas del Toro,Changuinola,Changuinola,174,Normal
1,C&W Panamá,19,Hospital Changuinola,Bocas del Toro,Changuinola,Changuinola,111,Normal
1,C&W Panamá,20,Inst. Profesional y técnico de Bocas del Toro,Bocas del Toro,Changuinola,Changuinola,195,Normal
1,C&W Panamá,21,Palacio Municipal Changuinola,Bocas del Toro,Changuinola,Changuinola,27,Normal
1,C&W Panamá,22,Parque de la Esc. de changuinola,Bocas del Toro,Changuinola,Changuinola,69,Normal
1,C&W Panamá,24,Policia de la Niñez y Adolescencia,Bocas del Toro,Changuinola,Changuinola,41,Normal
1,C&W Panamá,25,Policia Nacional Changuinola,Bocas del Toro,Changuinola,Changuinola,79,Normal
1,C&W Panamá,26,Terminal de Transporte Sincotavecop,Bocas del Toro,Changuinola,Changuinola,80,Normal
1,C&W Panamá,27,C.E.B.G. Finca 32,Bocas del Toro,Changuinola,Changuinola,1,Normal
1,C&W Panamá,28,C.E.B.G. FINCA 62,Bocas del Toro,Changuinola,Changuinola,43,Fuerza Mayor
1,C&W Panamá,29,Esc. Finca 43,Bocas del Toro,Changuinola,Changuinola,250,Normal
1,C&W Panamá,30,Esc. Finca 44,Bocas del Toro,Changuinola,Changuinola,22,Normal
1,C&W Panamá,31,Esc. Finca 64,Bocas del Toro,Changuinola,Changuinola,369,Normal
1,C&W Panamá,32,Esc. Finca 67,Bocas del Toro,Changuinola,Changuinola,291,Normal
1,C&W Panamá,33,C.E.B.G. Finca 04,Bocas del Toro,Changuinola,El Empalme,16,Normal
1,C&W Panamá,34,Cuartel de Bomberos del Empalme,Bocas del Toro,Changuinola,El Empalme,131,Normal
1,C&W Panamá,35,Esc. El Empalme,Bocas del Toro,Changuinola,El Empalme,36,Normal
1,C&W Panamá,36,Esc. El Silencio,Bocas del Toro,Changuinola,El Empalme,34,Normal
1,C&W Panamá,37,Esc. Finca 3,Bocas del Toro,Changuinola,El Empalme,84,Fuerza Mayor
1,C&W Panamá,38,I.P.T. EL SILENCIO,Bocas del Toro,Changuinola,El Empalme,6,Fuerza Mayor
1,C&W Panamá,39,Universidad de Panamá El Empalme,Bocas del Toro,Changuinola,El Empalme,82,Normal
1,C&W Panamá,40,Universidad de Panamá- Sede Agropecuaria,Bocas del Toro,Changuinola,El Empalme,72,Normal
1,C&W Panamá,41,UTP El Empalme,Bocas del Toro,Changuinola,El Empalme,201,Normal
1,C&W Panamá,42,C.E.B.G. Guabito,Bocas del Toro,Changuinola,Guabito,10,Normal
1,C&W Panamá,43,Colegio Secundario de Guabito,Bocas del Toro,Changuinola,Guabito,131,Fuerza Mayor
1,C&W Panamá,44,Esc. Finca 41 Guabito,Bocas del Toro,Changuinola,Guabito,131,Normal
1,C&W Panamá,45,Esc. Finca 54,Bocas del Toro,Changuinola,Guabito,485,Normal
1,C&W Panamá,46,Esc. Finca Débora,Bocas del Toro,Changuinola,Guabito,391,Normal
1,C&W Panamá,47,Esc. Puente blanco,Bocas del Toro,Changuinola,Guabito,278,Normal
1,C&W Panamá,48,Esc. San San Medio (Anexa),Bocas del Toro,Changuinola,Guabito,282,Normal
1,C&W Panamá,49,Policlínica de Guabito CSS,Bocas del Toro,Changuinola,Guabito,129,Normal
1,C&W Panamá,51,C.E.B.G. Dionisia G. de Ayarza,Bocas del Toro,Chiriquí Grande,Chiriquí Grande,66,Normal
1,C&W Panamá,52,I.P.T. Chiriquí Grande,Bocas del Toro,Chiriquí Grande,Chiriquí Grande,54,Normal
1,C&W Panamá,53,Municipio Chiriquí Grande (Cabecera),Bocas del Toro,Chiriquí Grande,Chiriquí Grande,51,Normal
1,C&W Panamá,55,C.E.B.G. PUNTA PEÑA,Bocas del Toro,Chiriquí Grande,Punta Peña,89,Normal
1,C&W Panamá,56,Esc. Cañazas,Bocas del Toro,Chiriquí Grande,Punta Peña,302,Normal
1,C&W Panamá,57,Esc. Alanje,Chiriquí,Alanje,Santiago de Alanje,0,Normal
1,C&W Panamá,58,Municipio de Alanje,Chiriquí,Alanje,Santiago de Alanje,35,Normal
1,C&W Panamá,59,Parque Central Alanje,Chiriquí,Alanje,Santiago de Alanje,28,Normal
1,C&W Panamá,60,C.E.B.G. Divalá,Chiriquí,Alanje,Divalá,2,Normal
1,C&W Panamá,61,Policlínica de la CSS de Divala,Chiriquí,Alanje,Divalá,12,Normal
1,C&W Panamá,62,Esc. Guarumal,Chiriquí,Alanje,Guarumal,20,Normal
1,C&W Panamá,64,Esc. La Esperanza,Chiriquí,Barú,Baco,74,Fuerza Mayor
1,C&W Panamá,65,Esc. San Valentín,Chiriquí,Barú,Baco,152,Normal
1,C&W Panamá,66,Centro de Educ. Media de Progreso,Chiriquí,Barú,Progreso,57,Normal
1,C&W Panamá,68,Esc. Chuchupate,Chiriquí,Barú,Progreso,676,Normal
1,C&W Panamá,69,Biblioteca Pública Generosa Valdez de Diaz,Chiriquí,Barú,Puerto Tomás Armuelles,4,Fuerza Mayor
1,C&W Panamá,70,Bomberos Puerto Armuelles,Chiriquí,Barú,Puerto Tomás Armuelles,53,Normal
1,C&W Panamá,71,Esc. Los Ángeles,Chiriquí,Barú,Puerto Tomás Armuelles,89,Normal
1,C&W Panamá,72,Esc. Márgenes de Corotú,Chiriquí,Barú,Puerto Tomás Armuelles,442,Normal
1,C&W Panamá,74,Esc. Sec. de Puerto Armuelles,Chiriquí,Barú,Puerto Tomás Armuelles,3,Normal
1,C&W Panamá,75,Esc. Tomás Armuelles,Chiriquí,Barú,Puerto Tomás Armuelles,0,Fuerza Mayor
1,C&W Panamá,77,Municipio Puerto Armuelles,Chiriquí,Barú,Puerto Tomás Armuelles,19,Normal
1,C&W Panamá,78,Parque Central Puerto Armuelles,Chiriquí,Barú,Puerto Tomás Armuelles,29,Normal
1,C&W Panamá,79,Esc. Agua Buena,Chiriquí,Barú,Puerto Tomás Armuelles,155,Normal
1,C&W Panamá,80,Esc. El Palmar,Chiriquí,Barú,Puerto Tomás Armuelles,39,Normal
1,C&W Panamá,81,Esc. Flor de Lima,Chiriquí,Barú,Puerto Tomás Armuelles,64,Normal
1,C&W Panamá,83,Esc. Aguacatón,Chiriquí,Barú,Rodolfo Aguilar Delgado,28,Normal
1,C&W Panamá,84,Esc. Balsa,Chiriquí,Barú,Rodolfo Aguilar Delgado,0,Fuerza Mayor
1,C&W Panamá,85,Esc. Burica Centro,Chiriquí,Barú,Rodolfo Aguilar Delgado,194,Normal
1,C&W Panamá,86,Esc. Corozo,Chiriquí,Barú,Rodolfo Aguilar Delgado,0,Fuerza Mayor
1,C&W Panamá,87,Esc. Finca Blanco,Chiriquí,Barú,Rodolfo Aguilar Delgado,20,Normal
1,C&W Panamá,88,Esc. Finca Bongo,Chiriquí,Barú,Rodolfo Aguilar Delgado,572,Normal
1,C&W Panamá,89,Esc. Finca Zapatero,Chiriquí,Barú,Rodolfo Aguilar Delgado,433,Normal
1,C&W Panamá,90,Esc. Guayacán,Chiriquí,Barú,Rodolfo Aguilar Delgado,485,Normal
1,C&W Panamá,91,Esc. Higuerón,Chiriquí,Barú,Rodolfo Aguilar Delgado,485,Normal
1,C&W Panamá,92,Esc. La Victoria,Chiriquí,Barú,Rodolfo Aguilar Delgado,0,Fuerza Mayor
1,C&W Panamá,93,Esc. Manaca Civil,Chiriquí,Barú,Rodolfo Aguilar Delgado,60,Normal
1,C&W Panamá,94,Esc. Manaca Norte,Chiriquí,Barú,Rodolfo Aguilar Delgado,63,Normal
1,C&W Panamá,95,Esc. San Antonio.,Chiriquí,Barú,Rodolfo Aguilar Delgado,268,Normal
1,C&W Panamá,96,Esc. Sec. Finca Blanco,Chiriquí,Barú,Rodolfo Aguilar Delgado,136,Normal
1,C&W Panamá,97,I.P.T. Barú,Chiriquí,Barú,Rodolfo Aguilar Delgado,22,Normal
1,C&W Panamá,98,P.C. Corozo,Chiriquí,Barú,Rodolfo Aguilar Delgado,0,Fuerza Mayor
1,C&W Panamá,99,Esc. La Meseta.,Chiriquí,Boquerón,Boquerón,47,Normal
1,C&W Panamá,100,Parque Central Boquerón,Chiriquí,Boquerón,Boquerón,26,Normal
1,C&W Panamá,101,Esc. La Guinea,Chiriquí,Boquerón,Pedregal,31,Normal
1,C&W Panamá,103,Esc. Alto Boquete,Chiriquí,Boquete,Alto Boquete,5,Normal
1,C&W Panamá,104,Esc. Sec. Benigno T. Argote,Chiriquí,Boquete,Alto Boquete,0,Normal
1,C&W Panamá,105,Esc. Palo Alto (primaria),Chiriquí,Boquete,Bajo Boquete,0,Normal
1,C&W Panamá,106,Municipio Bajo Boquete,Chiriquí,Boquete,Bajo Boquete,0,Normal
1,C&W Panamá,107,Esc. Volcancito,Chiriquí,Boquete,Bajo Boquete,5,Normal
1,C&W Panamá,108,Centro de Salud Aserrío de Gariche,Chiriquí,Bugaba,Aserrío de Gariché,117,Normal
1,C&W Panamá,109,Esc. Aserrío,Chiriquí,Bugaba,Aserrío de Gariché,52,Fuerza Mayor
1,C&W Panamá,110,Esc. El Exquisito,Chiriquí,Bugaba,Aserrío de Gariché,134,Normal
1,C&W Panamá,111,Esc. Gariche,Chiriquí,Bugaba,Aserrío de Gariché,0,Fuerza Mayor
1,C&W Panamá,112,Esc. Jacú,Chiriquí,Bugaba,Aserrío de Gariché,659,Normal
1,C&W Panamá,113,Esc. La Celmira,Chiriquí,Bugaba,Aserrío de Gariché,458,Normal
1,C&W Panamá,114,Esc. Portón,Chiriquí,Bugaba,Aserrío de Gariché,163,Normal
1,C&W Panamá,115,Esc. San Isidro,Chiriquí,Bugaba,Aserrío de Gariché,14,Normal
